Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,28.401680mm,11.705340mm,Top,0.0,28.401680mm,11.705340mm
C1,66.551680mm,21.730340mm,Top,-90.0,66.551680mm,21.730340mm
C2,126.002380mm,43.912400mm,Top,-90.0,126.002380mm,43.912400mm
C3,62.811679mm,26.305340mm,Top,0.0,62.811679mm,26.305340mm
C4,130.591681mm,84.205340mm,Top,180.0,130.591681mm,84.205340mm
C5,129.901680mm,79.705340mm,Top,-90.0,129.901680mm,79.705340mm
C6,135.591681mm,14.255354mm,Top,180.0,135.591681mm,14.255354mm
C7,35.130197mm,119.311784mm,Top,-90.0,35.130197mm,119.311784mm
C8,45.266681mm,100.280340mm,Top,0.0,45.266681mm,100.280340mm
C9,36.630197mm,119.611784mm,Top,90.0,36.630197mm,119.611784mm
C10,42.601680mm,100.280340mm,Top,180.0,42.601680mm,100.280340mm
C11,38.130197mm,119.611784mm,Top,90.0,38.130197mm,119.611784mm
C12,39.630197mm,119.611784mm,Top,90.0,39.630197mm,119.611784mm
C13,41.130197mm,119.611784mm,Top,90.0,41.130197mm,119.611784mm
C14,35.900000mm,116.300000mm,Top,-90.0,35.900000mm,116.300000mm
C15,42.630197mm,119.611784mm,Top,90.0,42.630197mm,119.611784mm
C16,44.130197mm,119.611784mm,Top,-90.0,44.130197mm,119.611784mm
C17,40.051680mm,99.330340mm,Top,-90.0,40.051680mm,99.330340mm
C18,38.551680mm,99.330340mm,Top,-90.0,38.551680mm,99.330340mm
C19,37.051680mm,99.330340mm,Top,90.0,37.051680mm,99.330340mm
C20,35.551680mm,99.330340mm,Top,90.0,35.551680mm,99.330340mm
D1,68.206040mm,5.730340mm,Top,180.0,68.206040mm,5.730340mm
D2,68.126680mm,9.830340mm,Top,180.0,68.126680mm,9.830340mm
D3,123.730832mm,49.990849mm,Top,-90.0,123.730832mm,49.990849mm
D4,121.730832mm,49.990849mm,Top,-90.0,121.730832mm,49.990849mm
D5,26.475000mm,89.912500mm,Top,-90.0,26.475000mm,89.912500mm
D6,72.211889mm,78.256090mm,Top,90.0,72.211889mm,78.256090mm
D7,68.911889mm,78.256090mm,Top,90.0,68.911889mm,78.256090mm
D8,67.011889mm,78.256090mm,Top,90.0,67.011889mm,78.256090mm
D9,63.711889mm,78.256090mm,Top,90.0,63.711889mm,78.256090mm
D10,24.664740mm,89.812501mm,Top,90.0,24.664740mm,89.812501mm
D11,28.375000mm,89.912500mm,Top,90.0,28.375000mm,89.912500mm
D12,73.899386mm,78.154591mm,Top,-90.0,73.899386mm,78.154591mm
D13,70.599386mm,78.154591mm,Top,-90.0,70.599386mm,78.154591mm
D14,65.411889mm,78.156090mm,Top,-90.0,65.411889mm,78.156090mm
